CI_Name,CI_Cat,CI_Subcat,WBS,Incident_ID,Status,Impact,Urgency,Priority,number_cnt,Category,KB_number,Alert_Status,No_of_Reassignments,Open_Time,Reopen_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,Related_Interaction,No_of_Related_Incidents,No_of_Related_Changes,Related_Change
SUB000508,subapplication,Web Based Application,WBS000162,IM0000004,Closed,4,4,4,0.601292279,incident,KM0000553,closed,26,05-02-2012 13:32,,04-11-2013 13:50,04-11-2013 13:51,3,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000005,Closed,3,3,3,0.415049969,incident,KM0000611,closed,33,12-03-2012 15:44,02-12-2013 12:31,02-12-2013 12:36,02-12-2013 12:36,4,,,,,,
DTA000024,application,Desktop Application,WBS000092,IM0000006,Closed,NS,3,NA,0.517551335,request for information,KM0000339,closed,3,29-03-2012 12:36,,13-01-2014 15:12,13-01-2014 15:13,4,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000011,Closed,4,4,4,0.642927218,incident,KM0000611,closed,13,17-07-2012 11:49,,14-11-2013 09:31,14-11-2013 09:31,4,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000012,Closed,4,4,4,0.345258343,incident,KM0000611,closed,2,10-08-2012 11:01,,08-11-2013 13:55,08-11-2013 13:55,3,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000013,Closed,4,4,4,0.006675648,incident,KM0000611,closed,4,10-08-2012 11:27,,08-11-2013 13:54,08-11-2013 13:54,3,,,,,,
WBA000082,application,Web Based Application,WBS000055,IM0000014,Closed,4,4,4,0.19290712,incident,KM0000401,closed,2,15-08-2012 14:17,,27-12-2013 10:59,27-12-2013 10:59,3,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000015,Closed,4,4,4,0.996467545,incident,KM0000611,closed,5,22-08-2012 16:31,,08-11-2013 14:09,08-11-2013 14:09,3,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000017,Closed,NS,3,NA,0.269573825,incident,KM0000611,closed,2,29-08-2012 15:59,,08-11-2013 14:02,08-11-2013 14:02,0,,,,,,
WBA000082,application,Web Based Application,WBS000055,IM0000018,Closed,4,4,4,0.306670312,incident,KM0000401,closed,2,03-09-2012 16:04,,08-11-2013 14:33,08-11-2013 14:35,3,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000019,Closed,4,4,4,0.439908807,incident,KM0000611,closed,6,21-09-2012 12:56,,08-11-2013 14:23,08-11-2013 14:23,3,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000020,Closed,4,4,4,0.291927638,incident,KM0000611,closed,8,01-10-2012 10:49,,08-11-2013 14:18,08-11-2013 14:22,1,,,,,,
WBA000082,application,Web Based Application,WBS000055,IM0000021,Closed,4,4,4,0.776486429,incident,KM0000401,closed,5,02-10-2012 12:12,28-01-2014 14:07,04-02-2014 09:38,04-02-2014 09:38,1,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000022,Closed,4,4,4,0.592713494,incident,KM0000611,closed,17,15-10-2012 15:50,,,14-11-2013 13:33,6,,,,,,
SBA000698,application,Server Based Application,WBS000090,IM0000023,Closed,3,3,3,0.025310167,incident,KM0000670,closed,1,18-10-2012 14:33,,12-12-2013 10:23,12-12-2013 10:24,3,,,,,,
WBA000082,application,Web Based Application,WBS000055,IM0000024,Closed,4,4,4,0.701704659,incident,KM0000401,closed,3,23-10-2012 12:01,,08-11-2013 14:57,08-11-2013 14:58,2,,,,,,
SUB000539,subapplication,Web Based Application,WBS000073,IM0000028,Closed,4,4,4,0.440612692,incident,KM0000852,closed,1,21-11-2012 11:53,,20-12-2013 11:30,20-12-2013 11:31,1,,,,,,
SUB000535,subapplication,Web Based Application,WBS000066,IM0000031,Closed,4,4,4,0.151630128,incident,KM0000928,closed,7,05-12-2012 15:17,,30-10-2013 08:45,30-10-2013 08:45,3,,,,,,
DTA000616,application,Desktop Application,WBS000092,IM0000033,Closed,3,3,3,0.860254961,incident,KM0001430,closed,17,07-12-2012 14:34,,30-11-2013 10:39,30-11-2013 10:39,2,,,,,,
WBA000082,application,Web Based Application,WBS000055,IM0000034,Closed,5,5,5,0.663615311,incident,KM0000401,closed,5,10-12-2012 14:44,11-02-2014 14:50,28-03-2014 14:20,28-03-2014 14:20,9,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000035,Closed,4,4,4,0.42814765,incident,KM0000611,closed,6,24-12-2012 16:31,,14-11-2013 09:49,14-11-2013 09:49,1,,,,,,
WBA000116,application,Web Based Application,WBS000066,IM0000038,Closed,4,4,4,0.070123275,incident,KM0000579,closed,4,15-01-2013 15:36,,29-01-2014 15:01,29-01-2014 15:01,2,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000041,Closed,4,4,4,0.529580963,incident,KM0000611,closed,2,22-01-2013 16:38,,08-11-2013 14:55,08-11-2013 14:55,2,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000042,Closed,4,4,4,0.898981779,incident,KM0000611,closed,12,23-01-2013 14:39,,08-11-2013 15:21,08-11-2013 15:22,2,,,,,,
SUB000535,subapplication,Web Based Application,WBS000066,IM0000045,Closed,4,4,4,0.146862046,incident,KM0000928,closed,7,30-01-2013 16:37,,27-01-2014 12:33,27-01-2014 12:33,11,,,,,,
SUB000535,subapplication,Web Based Application,WBS000066,IM0000046,Closed,4,4,4,0.941495195,incident,KM0000931,closed,3,31-01-2013 17:27,,12-02-2014 09:05,12-02-2014 09:05,2,,,,,,
WBA000082,application,Web Based Application,WBS000055,IM0000047,Closed,4,4,4,0.076103079,incident,KM0000401,closed,4,04-02-2013 14:38,,02-01-2014 15:22,02-01-2014 15:22,2,,,,,,
SBA000662,application,Server Based Application,WBS000071,IM0000048,Closed,5,5,5,0.748361437,request for information,KM0000524,closed,0,06-02-2013 14:07,17-10-2013 12:22,17-10-2013 14:00,17-10-2013 14:00,3,,,,,,
SBA000607,application,Server Based Application,WBS000263,IM0000049,Closed,5,5,5,0.246183023,request for information,KM0000592,closed,11,08-02-2013 10:47,,17-10-2013 15:40,17-10-2013 15:40,1,,,,,,
SBA000263,application,Server Based Application,WBS000072,IM0000053,Closed,5,5,5,0.85372157,request for information,KM0001104,closed,2,18-02-2013 11:59,04-12-2013 13:58,,04-12-2013 14:00,2,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000055,Closed,4,4,4,0.264909486,incident,KM0000611,closed,9,19-02-2013 11:52,,23-12-2013 13:03,23-12-2013 13:04,2050,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000056,Closed,4,4,4,0.243465909,incident,KM0000611,closed,2,20-02-2013 10:14,,08-11-2013 13:56,08-11-2013 13:57,1,,,,,,
SUB000433,subapplication,Web Based Application,WBS000073,IM0000057,Closed,4,4,4,0.121926581,incident,KM0000791,closed,1,25-02-2013 16:03,,12-03-2014 10:15,12-03-2014 10:16,2,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000058,Closed,4,4,4,0.272361649,incident,KM0000611,closed,2,26-02-2013 16:44,,12-11-2013 13:40,12-11-2013 13:40,61,,,,,,
WBA000124,application,Web Based Application,WBS000088,IM0000059,Closed,4,4,4,0.153093248,incident,KM0000611,closed,2,28-02-2013 12:23,03-12-2013 08:57,03-12-2013 10:36,03-12-2013 10:36,8,,,,,,
WBA000133,application,Web Based Application,WBS000073,IM0000060,Closed,4,4,4,0.518267343,incident,KM0001633,closed,0,28-02-2013 16:49,,20-11-2013 16:38,20-11-2013 16:38,1,,,,,,
